"","lon","lat"
"1",5.9556101,51.862573
"2",4.8694047,51.6212023
"3",6.3245081,53.2862885
"4",NA,NA
"5",NA,NA
"6",NA,NA
"7",4.8616901,51.6410202
"8",5.9707561,51.8676137
"9",16.5368334,46.6225193
"10",5.4332717,53.0057009
"11",5.406829,53.0385612
"12",5.3607068,52.8829456
"13",5.412757,52.8525086
"14",5.409823,53.0163297
"15",5.4459764,53.0476961
"16",NA,NA
"17",NA,NA
"18",NA,NA
"19",NA,NA
"20",5.9045609,51.8616783
"21",NA,NA
"22",NA,NA
"23",NA,NA
"24",NA,NA
"25",NA,NA
"26",NA,NA
"27",NA,NA
"28",NA,NA
"29",7.3406034,53.3284951
"30",4.8322711,52.5383425
"31",-70.825273,43.044531
"32",NA,NA
"33",6.7840117,53.2977751
"34",6.7113367,53.1110383
"35",6.6848434,53.0941274
"36",6.6728039,53.1352192
"37",-95.2996316,44.9332633
"38",NA,NA
"39",6.7987103,53.0275565
"40",NA,NA
"41",NA,NA
"42",7.27933,53.31553
"43",NA,NA
"44",7.39567,53.23353
"45",NA,NA
"46",NA,NA
"47",NA,NA
"48",NA,NA
"49",NA,NA
"50",NA,NA
"51",NA,NA
"52",NA,NA
"53",5.5416776,52.9255427
"54",7.2983095,53.2712254
"55",7.2576924,53.3176536
"56",7.3965638,53.2162983
"57",5.8134823,51.0962898
"58",5.0565756,52.4926113
"59",5.5991016,52.9798394
"60",5.9969873,53.1255486
"61",5.5859952,52.940388
"62",5.571944,52.934722
"63",5.5018875,52.9488351
"64",5.485533,52.9801037
"65",5.4383615,53.0140559
"66",5.484458,53.0319634
"67",5.4482493,52.914484
"68",7.2707171,53.2575793
"69",5.6501505,52.981679
"70",16.7314164,49.2577602
"71",7.332347,53.231764
"72",7.5761025,53.629726
"73",7.320034,53.251759
"74",6.0849873,53.4015212
"75",7.2690149,53.2817473
"76",7.2461547,53.2932539
"77",7.3561648,53.2645772
"78",8.520648,54.7149803
"79",7.3172434,53.1383342
"80",NA,NA
"81",NA,NA
"82",5.5533645,52.9799028
"83",5.605224,52.9715521
"84",5.620591,53.0113587
"85",7.3849319,53.2682267
"86",7.371273,53.302454
"87",3.3415108,51.3591404
"88",7.3641655,53.1916377
"89",10.7285004,53.7130996
"90",7.319522,53.1947199
"91",6.5920343,52.5726951
"92",6.3560252,51.9202661
"93",7.3539508,53.3215696
"94",NA,NA
"95",7.3113185,53.3095763
"96",7.3153494,53.3093775
"97",5.7016873,58.9519938
"98",7.4192289,53.1945791
"99",-47.4268785,-23.4761575
"100",7.4336517,53.3010678
"101",6.6973144,51.5425921
"102",7.322884,53.2162689
"103",7.284052,53.2022679
"104",5.888583,51.1404101
"105",7.4051112,53.2083198
"106",7.3641655,53.1916377
"107",7.3495881,53.215101
"108",7.097601,53.175532
"109",5.4495924,52.9803166
"110",5.5209776,52.9881299
"111",6.7840117,53.2977751
"112",NA,NA
"113",NA,NA
"114",NA,NA
"115",-106.91891,32.484398
"116",5.8642412,51.9061999
"117",5.9561843,51.8700936
"118",NA,NA
"119",NA,NA
"120",NA,NA
"121",NA,NA
"122",NA,NA
"123",6.0274311,52.5040871
"124",5.9996818,51.8899909
"125",5.0565756,52.4926113
"126",NA,NA
"127",NA,NA
"128",NA,NA
"129",5.4174918,53.043043
"130",6.0830219,52.5167747
"131",NA,NA
"132",NA,NA
"133",7.27933,53.31553
"134",7.39567,53.23353
"135",NA,NA
"136",5.7814,53.0410043
"137",5.8636397,52.9993439
"138",NA,NA
"139",NA,NA
"140",NA,NA
"141",NA,NA
"142",6.7243276,51.5418524
"143",6.6678912,51.5614236
"144",6.50181,51.65418
"145",5.4776928,53.0187592
"146",NA,NA
"147",NA,NA
"148",7.36213,53.13308
"149",5.8334089,52.9605678
"150",NA,NA
"151",NA,NA
"152",NA,NA
"153",6.69227,51.56093
"154",5.2979789,51.826866
"155",5.5666792,51.9086097
"156",6.1185933,51.861895
"157",6.1552165,52.2660751
"158",NA,NA
"159",53.9867949,26.5324775
"160",NA,NA
"161",NA,NA
"162",NA,NA
"163",NA,NA
"164",NA,NA
"165",NA,NA
"166",NA,NA
"167",NA,NA
"168",6.6113378,51.570589
"169",NA,NA
"170",NA,NA
"171",6.4981376,51.6463029
"172",NA,NA
"173",5.4032128,53.0561114
"174",5.445366,53.0262288
"175",NA,NA
"176",NA,NA
"177",6.6638983,51.5808217
"178",NA,NA
"179",NA,NA
"180",6.4588599,51.665659
"181",6.7113367,53.1110383
"182",6.6678912,51.5614236
"183",5.4180548,53.0430986
"184",6.695039,51.560831
"185",NA,NA
"186",NA,NA
"187",NA,NA
"188",NA,NA
"189",-87.6714831,42.0518787
"190",NA,NA
"191",7.39567,53.23353
"192",NA,NA
"193",NA,NA
"194",5.406829,53.0385612
"195",5.4495924,52.9803166
"196",NA,NA
"197",NA,NA
"198",NA,NA
"199",NA,NA
"200",6.5757606,51.6565212
"201",NA,NA
"202",NA,NA
"203",NA,NA
"204",NA,NA
"205",5.8924892,53.0481093
"206",NA,NA
"207",NA,NA
"208",NA,NA
"209",NA,NA
"210",NA,NA
"211",4.6945489,52.4046147
"212",4.8505232,52.3550818
"213",6.6973144,51.5425921
"214",NA,NA
"215",6.643517,51.516179
"216",NA,NA
"217",6.6678912,51.5614236
"218",6.6561093,51.5469193
"219",5.9376934,51.1709996
"220",6.6964628,51.5601381
"221",NA,NA
"222",NA,NA
"223",6.620082,51.6037873
"224",NA,NA
"225",NA,NA
"226",NA,NA
"227",NA,NA
"228",6.6973144,51.5425921
"229",6.6973144,51.5425921
"230",6.6973144,51.5425921
"231",5.9071048,51.8814361
"232",NA,NA
"233",6.0197044,51.8601159
"234",5.0195658,52.543102
"235",4.8505232,52.3550818
"236",6.0075313,51.9020991
"237",6.0128225,51.8739025
"238",5.9612034,51.8480833
"239",5.9869027,51.8575128
"240",NA,NA
"241",7.3677359,53.2539644
"242",7.2777008,53.2453019
"243",7.3561648,53.2645772
"244",5.4649598,52.8567456
"245",5.4850815,52.5218625
"246",NA,NA
"247",NA,NA
"248",7.2983095,53.2712254
"249",7.2686768,53.282172
"250",5.4278292,53.0003921
"251",5.3907465,53.0832949
"252",9.216667,53.116667
"253",7.3262298,53.2241245
"254",7.391872,53.236935
"255",NA,NA
"256",5.8931813,51.8990011
"257",6.6973144,51.5425921
"258",NA,NA
"259",6.629448,51.5940072
"260",NA,NA
"261",7.0218853,52.6717157
"262",6.6079902,51.5968711
"263",NA,NA
"264",6.6973144,51.5425921
"265",6.2830262,51.7268106
"266",5.8755237,52.5644413
"267",7.2469797,51.9018323
"268",6.9859122,52.646371
"269",6.6227761,51.5765479
"270",5.761653,51.0342127
"271",6.729974,51.57785
"272",6.0213973,51.1435542
"273",6.6390524,51.5937185
"274",NA,NA
"275",NA,NA
"276",77.114758,28.617288
"277",-2.9605206,58.9809401
"278",10.0942011,52.3046339
"279",6.6964628,51.5601381
"280",5.883562,51.1221966
"281",NA,NA
"282",NA,NA
"283",6.6678912,51.5614236
"284",NA,NA
"285",6.6113378,51.570589
"286",NA,NA
"287",7.332347,53.231764
"288",5.9433537,51.8529224
"289",5.9181207,51.8410511
"290",NA,NA
"291",5.8936968,51.8536083
"292",7.371273,53.302454
"293",7.4395812,53.1340218
"294",7.320034,53.251759
"295",NA,NA
"296",6.6678912,51.5614236
"297",5.9362054,51.8553126
"298",7.3341679,53.3078796
"299",7.2415193,53.1324975
"300",5.8783222,51.1332679
"301",7.4192289,53.1945791
"302",NA,NA
"303",5.9881369,51.8786623
"304",NA,NA
"305",5.4959097,52.8947795
"306",5.548611,52.9925
"307",5.5636659,52.9024442
"308",5.605224,52.9715521
"309",7.368004,53.209399
"310",-118.1211313,34.1688723
"311",7.3778065,53.1386431
"312",6.6528927,51.5906962
"313",7.4419228,53.3059296
"314",5.916206,51.8603021
"315",7.319522,53.1947199
"316",6.6638983,51.5808217
"317",NA,NA
"318",6.6528927,51.5906962
"319",NA,NA
"320",6.69227,51.56093
"321",5.9473404,51.8408427
"322",5.9422914,51.82713
"323",6.0277691,51.8510357
"324",6.0161145,51.2628223
"325",5.7952,51.07905
"326",6.7147606,51.5949305
"327",NA,NA
"328",18.1738791,48.9568697
"329",9.501785,56.26392
"330",7.2907347,53.1011417
"331",5.9969603,51.7232827
"332",6.9902079,52.6539192
"333",6.9946616,52.6728732
"334",6.6973144,51.5425921
"335",NA,NA
"336",NA,NA
"337",6.9327334,52.6542854
"338",7.3982958,53.1735491
"339",NA,NA
"340",NA,NA
"341",5.933536,51.86317
"342",5.7882905,51.8849709
"343",5.9492302,51.8562471
"344",NA,NA
"345",NA,NA
"346",6.0178148,51.8571049
"347",5.8816298,51.7512298
"348",6.0788841,51.2551568
"349",6.0542923,51.8651373
"350",4.6907936,52.3939062
"351",6.7243276,51.5418524
"352",5.9788967,51.6537976
"353",NA,NA
"354",5.9652327,51.7340572
"355",NA,NA
"356",6.6377403,51.5884715
"357",6.3685649,51.8024362
"358",5.9881037,51.7321943
"359",7.36213,53.13308
"360",4.4447692,50.9286959
"361",5.9806079,51.7302439
"362",5.9788967,51.6537976
"363",6.6561093,51.5469193
"364",NA,NA
"365",NA,NA
"366",5.9382569,51.6717784
"367",5.9803877,51.7190569
"368",6.0051544,51.6347006
"369",6.69227,51.56093
"370",6.6973144,51.5425921
"371",6.0151649,51.6310848
"372",6.6638983,51.5808217
"373",NA,NA
"374",NA,NA
"375",NA,NA
"376",6.7326437,51.5707801
